id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3kIBEFhsZOeeKGebxRraOb,Someday We'll Know,Daryl Hall & John Oates,0.565,0.7809999999999999,1,-5.073,0,0.0308,0.0233,9.91e-06,0.0819,0.461,109.977,4.0
4mZsyuthp695XQWwb2g3qe,Leave Right Now,Will Young,0.6409999999999999,0.445,6,-8.674,1,0.0368,0.145,0.0,0.108,0.3829999999999999,81.931,4.0
1adbS4O1niPAEhQzuEu5J2,I'm No Heroine,Ani DiFranco,0.431,0.344,2,-15.847,0,0.0541,0.539,2.52e-05,0.105,0.494,148.537,4.0
5I4eHZdEVzhhlPgnVWiwaW,Drop D,Bride,0.521,0.773,6,-7.5710000000000015,0,0.0427,0.00362,0.000823,0.236,0.727,84.066,4.0
2zfK1yLW1HzHGbmYx6X9F8,The Last Cowboy Song,"The Highwaymen', 'Willie Nelson', 'Johnny Cash', 'Waylon Jennings', 'Kris Kristofferson",0.596,0.176,2,-20.332,1,0.0452,0.7290000000000001,0.0,0.163,0.502,126.303,3.0
3tOAosF0Ykfbdl8HwQGqZZ,Cry Myself To Sleep,The Judds,0.909,0.223,11,-15.509,0,0.0377,0.183,1.17e-05,0.0711,0.887,115.326,4.0
2Evtv1tb9dzvSGpvX3YGqQ,Let's Go Bowling,Lambchop,0.428,0.514,0,-14.172,1,0.03,0.42,0.496,0.113,0.415,144.233,4.0
4D0zd8jDFfHFEHNG1nlRKV,Grow,Jason Upton,0.544,0.419,2,-10.195,1,0.0309,0.181,0.00248,0.0682,0.0783,83.995,4.0
2XiLzszzvzGt54VXmg0X1a,You're On Your Way,John Gorka,0.516,0.0889,3,-22.41800000000001,1,0.043,0.777,0.09,0.0901,0.426,131.155,4.0
3fLUaToIVdsOXhKpnKZPyG,Edgar The Party Man,John Gorka,0.648,0.51,11,-14.615,1,0.0488,0.6659999999999999,0.00135,0.111,0.945,167.084,4.0
2F9mMye3dLiwGkNV0kbOE4,Save Me,The Subdudes,0.682,0.46,2,-7.872999999999997,1,0.0251,0.5429999999999999,6.759999999999999e-05,0.129,0.7020000000000001,95.047,4.0
18WkhkEITgd1lfPUC62ohk,Simple,Rebecca Hickman,0.473,0.0265,7,-30.674,1,0.0368,0.83,0.00195,0.149,0.136,150.52700000000004,4.0
5IOPgoCnGt0Y08RCc664Q5,I Feel So Good,Magic Sam,0.407,0.847,5,-10.805,1,0.135,0.0224,0.92,0.609,0.575,120.758,4.0
45azl4z4ovpydivnoL4RV8,"Concerto Grosso in B-Flat Major, Op. 1, No. 3: IV. Vivace","Pietro Locatelli', 'Capella Istropolitana', 'Jaroslav Krcek",0.473,0.0697,10,-14.936,1,0.0384,0.913,5.260000000000001e-05,0.0931,0.424,85.13799999999998,4.0
04HTC4wG7Y7a5RHfts7QcZ,"Concerto Grosso in D Major, Op. 1, No. 5: I. Largo","Pietro Locatelli', 'Capella Istropolitana', 'Jaroslav Krcek",0.397,0.123,2,-15.261,1,0.0415,0.932,0.098,0.125,0.598,119.072,4.0
2l5YwFuysPVZm3De3JicrR,C'est l'amour,Les Wampas,0.264,0.773,9,-8.894,1,0.0628,0.02,3.02e-05,0.218,0.523,162.773,4.0
3bvmX17XnqFCLoFxHWvaNK,Comme un ange (Qui pleure) - Live 96,Les Wampas,0.2339999999999999,0.846,2,-5.259,1,0.034,0.0242,0.0,0.8640000000000001,0.452,79.482,4.0
3OcebvjlyoxAqGGQEjeaxY,Hang Up My Spurs And Saddle,Asleep At The Wheel,0.635,0.584,0,-9.888,1,0.0771,0.7390000000000001,0.816,0.84,0.81,131.292,4.0
2whKr4MrzdQCMZW4hp2LXM,Grace 7,Tribes Of Neurot,0.121,0.386,10,-17.979,1,0.102,0.064,0.136,0.619,0.0328,86.20100000000002,4.0
1boN7gj9S9AP85SmeDcZX5,La Mano de Dios,José Alfredo Jimenez,0.401,0.242,0,-9.523,1,0.0493,0.935,0.0,0.19,0.615,170.158,4.0
3yJW6OIAGLiAVZV8zyiUxj,Guitarras de Medianoche,José Alfredo Jimenez,0.491,0.19,4,-11.78,1,0.0443,0.534,0.0,0.312,0.5720000000000001,127.764,3.0
22QK4vQR6DM9evaB4JNCZn,Everything,The Juliana Theory,0.387,0.727,6,-6.2570000000000014,0,0.037,0.0018399999999999,0.00245,0.106,0.141,124.845,3.0
1mQG6ul7HQjklPld1Xvwxi,Human,Josh Joplin Group,0.435,0.504,2,-6.573,1,0.0315,0.158,0.00173,0.19,0.198,184.812,3.0
4w7qUNRMg3A3xnqhE37TP3,Thief,Third Day,0.319,0.337,10,-10.947,1,0.0287,0.574,0.0,0.098,0.212,136.761,4.0
2NLLH8KVjVZDKc8NAtE3ok,Airbag,Vitamin String Quartet,0.249,0.214,2,-12.685,1,0.0373,0.942,0.8240000000000001,0.102,0.206,80.229,4.0
2pX2KL8DuL5A9piw1gJBR8,Forty Winks,Tipper,0.68,0.365,5,-13.005,0,0.0326,0.585,0.574,0.466,0.326,99.991,4.0
6lsWz41LNN8qGBGudmWzxW,Goldenrod,Noe Venable,0.513,0.386,7,-8.625,1,0.0306,0.708,0.0084099999999999,0.1689999999999999,0.0677,113.967,4.0
14JSPuGWm4TWUtvlwIk5LX,Call of the Cossacks (Live),Moriah,0.504,0.6920000000000001,0,-16.232,0,0.0764,0.1369999999999999,0.382,0.6990000000000001,0.75,102.984,4.0
0EOcBDH2ZCeykh0BGc1mrR,Your Name on a Grain of Rice,Roger Clyne & The Peacemakers,0.684,0.631,1,-4.604,0,0.0264,0.2769999999999999,0.0,0.11,0.373,116.263,4.0
5FFfcHsNilsMfro4MwNKnn,Timeless,Caroline Lavelle,0.434,0.119,9,-17.805,0,0.0341,0.957,0.000158,0.34,0.228,104.783,4.0
1F5YCNLEScNFE5LXFTkJEO,"You Win, I Win, We Lose",Kenny Chesney,0.76,0.446,6,-9.097,1,0.0263,0.32,6.330000000000001e-05,0.115,0.365,106.803,4.0
3W3ZHm27GvXUzUD7R5vmB8,That's Why I'm Here,Kenny Chesney,0.6559999999999999,0.3,4,-10.942,1,0.0325,0.48,4.33e-06,0.187,0.223,136.967,4.0
64JduAqe9yz9nrZGhZ5mK9,Voodoo,Teety Blue,0.952,0.579,1,-10.358,1,0.14,0.174,0.0,0.08,0.259,130.001,4.0
6ebuq0jAlq6h1FQ2rPAacD,Loud Neighbor,2 Skinnee J's,0.6609999999999999,0.782,10,-4.939,0,0.128,0.0457,0.0,0.0836,0.746,91.992,4.0
3fvZZowJSz0Mb0cKCaKsGh,Circumvent - Before And After Part 1,Kid606,0.713,0.325,2,-19.469,1,0.143,0.971,0.92,0.313,0.316,105.957,4.0
1q3mQu2Iwm02jHsCRKbNZk,Hidden,Vashti Bunyan,0.331,0.0914,0,-20.063,1,0.0328,0.984,0.52,0.12,0.455,82.181,4.0
23n1d3LkDnuiiCmKzkTjdf,One Night Stands,"Hank Williams, Jr.",0.596,0.506,4,-14.102,1,0.0286,0.376,0.00134,0.32,0.841,140.406,4.0
5AgtVrLFRz77Tla4tCrBEg,Phantavox,Ennio Morricone,0.619,0.345,5,-12.111,0,0.0576,0.563,0.211,0.0575,0.777,162.391,4.0
5tCuwzsxap3C5wLupzei4b,Groeten Uit Maaiveld,Acda en de Munnik,0.52,0.581,2,-5.17,1,0.0292,0.0428,0.0,0.0925,0.282,113.639,4.0
1RrKmgnO0WgripyOSqLa7S,Interlude,"Le Yu', ""L'Indécis",0.701,0.547,0,-10.073,0,0.0653,0.295,0.877,0.107,0.9,113.514,5.0
16axw5CvcLiOCdy2u6Hu5r,The City of Tikal / Maya Long Count,Michael McCuistion,0.351,0.0557,7,-25.57,1,0.0305,0.909,0.649,0.105,0.0506,79.937,3.0
1f0vdoWkKWs9bQtQ7ZBqV1,Easy Chair,Fat,0.507,0.942,0,-5.869,1,0.0391,4.93e-05,0.311,0.436,0.479,104.011,4.0
1d8z8YKTX0KSyWWDCWSVex,What We Do,Fat,0.645,0.975,9,-5.862,1,0.139,0.0408,0.0,0.67,0.242,109.046,4.0
6bJJo4hjFNV91mwUL29lgU,Sara,"Bob Dylan', 'Barb Jungr",0.434,0.0356,4,-24.064,0,0.0442,0.908,0.0031,0.123,0.25,138.904,3.0
7omnO5KrldPI7K6iSiQYpB,Melt Down,Albert Collins,0.627,0.6579999999999999,7,-10.765,1,0.0466,0.000453,0.865,0.0925,0.877,102.471,4.0
