id,name,album,artists,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1dVT2CbuH0j9rKco5dvkLI,Love Loves You Too,Dart To The Heart,Bruce Cockburn,False,0.613,0.294,4,-13.13,1,0.0311,0.8109999999999999,0.0243,0.108,0.174,81.959,4.0
65IWXigdPaOXJM2j4cFY9p,Method of Modern Love,Big Bam Boom,Daryl Hall & John Oates,False,0.7090000000000001,0.63,5,-9.987,0,0.0533,0.0721,4.56e-05,0.0805,0.767,94.195,4.0
2ybd5IZWqVWvYFVHdiEW0M,In Unbending,Leave Luck to Heaven,Matthew Dear,False,0.888,0.8640000000000001,4,-6.6670000000000025,0,0.239,0.00154,0.884,0.132,0.912,125.949,4.0
5dwruX19r2BYHxRRMFqHHK,216 - Das Geheimnis im Jagdschloss - Teil 37,216/Das Geheimnis im Jagdschloss,TKKG,False,0.642,0.22,8,-24.313,1,0.952,0.628,0.0,0.248,0.675,77.97,3.0
76VGmH2SgTjwwLW5nYDdx3,Isn't It Time,Never Let The Bastards Wear You Down,Dee Snider,False,0.345,0.8490000000000001,8,-7.572999999999999,0,0.0412,3.33e-05,0.000358,0.0589,0.511,156.47,4.0
7zYTQLCjNfvjcRdSzhYn0J,Party In Breifs,New Variations,The Exploders,False,0.418,0.88,10,-5.077,1,0.0892,0.251,0.0378,0.16,0.664,108.962,4.0
6f2becVoL9MC2TNL49jr36,Do You Believe,Pull the Plug,London Elektricity,False,0.674,0.76,0,-10.254,1,0.0668,0.0611,0.643,0.17,0.972,169.96599999999995,4.0
7vMAJqW6cC4y1DL5yPYllH,Early in the morning,"Linn Super Audio Collection, Vol. 5","Ned Rorem', 'The Prince Consort",False,0.349,0.138,10,-15.925999999999998,1,0.0439,0.989,2.1e-06,0.0678,0.275,88.085,3.0
3HFrFJzOiuMh6nEPTwye35,Saint Monica,Sweet Old Green Life,Meatyard,False,0.54,0.672,0,-5.232,1,0.0359,0.208,6.69e-06,0.177,0.657,150.004,4.0
1HsfC4jFLNE7H3XaO0nUPv,Esperanza Inutil,20 Grandes Exitos,Daniel Santos,False,0.753,0.213,5,-14.397,1,0.0368,0.916,0.0134,0.0425,0.764,110.873,4.0
1WrJb5iTSW7vPqWB20lci5,Der faule Zauber (Lametta & Co),Die Kabarettlegende - Folge 1 (Dieter Hilderbrandt & Werner Schn,"Werner Schneyder', 'Dieter Hildebrandt",False,0.629,0.417,5,-8.562999999999999,1,0.457,0.946,5.36e-06,0.966,0.718,136.63,4.0
0M19lFK1dWQIuP4V9MKZ6d,Put Me On,Music From The Motion Picture Like Mike,Mario,False,0.7340000000000001,0.862,11,-3.894,0,0.108,0.149,0.0,0.357,0.8029999999999999,106.988,4.0
3WqwypvObpfLX4OpsiSGe1,Like A Rolling Stone,Pickin' on Dylan - a Tribute,Pickin' On Series,False,0.602,0.7140000000000001,5,-6.307,1,0.0302,0.513,0.925,0.113,0.574,126.68,4.0
7HTWJ5Ao2LY3rvGXIV8V0o,Mountain Dance,Whiskey Cambodia,The Cambodian Space Project,False,0.67,0.8109999999999999,5,-6.546,1,0.0394,0.171,0.000218,0.0955,0.6990000000000001,103.94,4.0
1gryyMlY6mgUUlZSbAvapy,For The Cool In You - Midnight Luv Instrumental Mix,For The Cool In You,Babyface,False,0.6679999999999999,0.258,1,-16.078,0,0.0327,0.0833,0.0217,0.104,0.136,92.296,4.0
4Ky9Cuc96yZln29rJFOPKy,Cartoon,North Texas Wind Symphony: Wildflowers,"Paul Hart', 'North Texas Wind Symphony', 'Eugene Migliaro Corporon",False,0.196,0.209,3,-19.757,1,0.0835,0.857,0.157,0.3339999999999999,0.0621,71.485,4.0
6RAOcTYJNZZiqesNVkmDil,Unseen Sights,Muted,"Alias', 'Markus Acher",False,0.574,0.462,10,-12.904000000000002,0,0.0371,0.0518,0.446,0.183,0.25,176.03599999999997,4.0
1rHVV79QlrH6vltfHCMhPv,If I Were A...I'd - Live,The Reality Of My Surroundings,Fishbone,False,0.669,0.934,1,-8.645,0,0.433,0.605,0.0,0.376,0.22,109.938,4.0
0sxpheu885V5d739CDmtc0,S.O.S.,Salvation,Total Science,False,0.47,0.92,1,-4.555,1,0.0428,0.000637,0.92,0.0446,0.168,175.937,4.0
3uo4a9GVhzfT1r061kzUJq,Mon pays,Attache ta tuque!,Les Cowboys Fringants,False,0.248,0.782,4,-8.387,0,0.0433,0.0128,0.0564,0.4379999999999999,0.616,165.183,4.0
6BugVOeqlny3eSmVKtKDV6,Future Travel: Desert Night Touch Down,David Rosenboom: Future Travel,David Rosenboom,False,0.297,0.312,2,-17.648,0,0.0448,0.937,0.165,0.0948,0.0392,133.891,3.0
