id,name,artists,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2uAzh2c3VtiPxfpTH9oUTo,More Than Human,Bride,0.488,0.826,-6.494,1,0.0315,0.00535,0.0263,0.0851,0.473,90.029,4.0
2x1D20z93vGEjtTP07GOOr,Swear It Again - Radio Edit,Westlife,0.626,0.532,-7.205,1,0.0276,0.296,0.0,0.123,0.33,130.076,4.0
3gMKfewkRN5XUDftzTgfcr,New Acid,Alec Empire,0.491,0.767,-11.035,1,0.0763,0.642,0.913,0.138,0.162,73.48899999999998,4.0
74TmgG4aLSRify1y5lABhh,8-Ball Deluxe,7 Year Bitch,0.424,0.845,-6.272,1,0.0551,0.0396,0.0,0.342,0.7909999999999999,122.911,4.0
1yZGylfVLuHDFJFeYwcmcW,Love Is An Army,LeAnn Rimes,0.425,0.238,-8.936,1,0.0354,0.831,0.0,0.133,0.22,72.98899999999998,4.0
1x0ZKCorF8ohgjcTQa6yaQ,Les poissons,Les Wampas,0.396,0.631,-10.297,1,0.104,0.127,0.0020399999999999,0.1159999999999999,0.634,162.78799999999995,4.0
6cpFgGf6JtAQNDuqxaFivU,Jubilee,Patti Smith,0.534,0.5760000000000001,-6.609,1,0.0277,0.0352,0.00029,0.222,0.684,81.63,4.0
6KrayEkqbNBypr3nWYBry2,'Orbiting',Clubroot,0.324,0.496,-10.312,1,0.0314,0.106,0.951,0.0836,0.0777,136.95600000000002,4.0
3RkQ3UwOyPqpIiIvGVewuU,Mr. Tambourine Man,Bob Dylan,0.39,0.31,-14.545,1,0.0676,0.794,0.0,0.379,0.584,177.515,4.0
39ojtRAmhgGPHAKKnkHuPv,I Don’t Need Your Love [Screwed],Lil' O,0.544,0.575,-9.913,1,0.5,0.12,0.0,0.3939999999999999,0.541,70.444,4.0
4PMrhIO0OefQnnY2llq23Q,Day After The Party - Radio Edit,Cabballero,0.602,0.995,-3.994,1,0.0494,0.0212,0.226,0.311,0.523,142.033,4.0
4FFVqPHBxqIwaWwVcn49li,Nyak Mien,Ibibio Sound Machine,0.669,0.7070000000000001,-7.182,1,0.0604,0.0648,0.1159999999999999,0.271,0.963,132.24200000000002,4.0
6yic20mslc8diWyu5xBPX6,To Find Out,The Gories,0.376,0.996,-7.936,0,0.122,0.562,0.445,0.9,0.158,141.757,4.0
61OICFpvPpd3AdOtdUVWxO,Lovers Understand,Cherry Poppin' Daddies,0.166,0.3989999999999999,-14.18,1,0.0398,0.685,0.0102,0.108,0.332,175.47799999999995,3.0
6YttM5VFTEFlBb5lo5yPCv,The Family God,Angels Of Light,0.321,0.246,-10.412,1,0.0343,0.5479999999999999,0.00347,0.261,0.0664,73.192,4.0
04vJ2YvQq3ZDCLNchaRJss,Ballerina Girl,Blue System,0.56,0.609,-10.739,1,0.0318,0.0333,0.000705,0.344,0.505,98.351,4.0
2tBllxx8q8yM44FOzXRcGF,"Études d'exécution transcendante, S. 139: No. 9 in A-Flat Major ""Ricordanza""","Franz Liszt', 'Boris Giltburg",0.272,0.0215,-31.346,1,0.0387,0.986,0.922,0.0998,0.0371,67.067,3.0
3zB2k9RP9aNWN08hixPYxr,Basin Street Blues,"Michael Kaeshammer', 'Carol Welsman",0.515,0.0683,-15.532,1,0.0375,0.979,4.41e-05,0.1169999999999999,0.258,135.815,4.0
1r4nsYWQ5Nw29XUEqMrkNu,Witches,Cowboy Junkies,0.442,0.0182,-30.24,1,0.0456,0.8220000000000001,0.00173,0.106,0.183,89.102,4.0
7xl6tDFzGvcZ5AjTB8OYtb,Sunrise Over San Quentin,"San Quentin Mixtape', 'David Jassy', 'Tre Reddi",0.609,0.534,-9.369,1,0.235,0.0435,0.0,0.0918,0.495,134.987,4.0
1QqvRaiIA3nXiAstQnAuKD,The Best Is Yet To Come,Watershed,0.4370000000000001,0.7040000000000001,-8.179,1,0.0378,0.00022,3.49e-06,0.24,0.847,136.034,4.0
4RCh5vHNeO8NOQpdqvRgk2,Line Dancing with Monkeys,Jeff Beck,0.5479999999999999,0.602,-8.901,0,0.0719,0.0323,0.8340000000000001,0.313,0.3829999999999999,92.993,4.0
5X0yBadaJZu6DXwMpkiSs8,Astronomy Dominé,"Gary Lucas', 'Rolo McGinty",0.434,0.843,-10.488,0,0.053,8.109999999999999e-05,0.32,0.244,0.165,147.732,3.0
3q1AKTVzHK6SweFbrtaSFA,Follow (1st Movement of the Odyssey),Incubus,0.275,0.991,-4.175,0,0.121,0.0002379999999999,0.078,0.125,0.104,120.785,4.0
4Gq7g0Wh3K1M2EHG6LycK7,The Long Loneliness,The Smithereens,0.667,0.7390000000000001,-6.632999999999999,1,0.0279,0.0147,0.000206,0.1639999999999999,0.924,112.195,4.0
22KC7jffl4NamMWYFErmgb,"Trouble, Trouble",Otis Rush,0.445,0.523,-12.56,1,0.0522,0.4,0.00303,0.178,0.426,179.202,3.0
77kXposkCRVDEerLbSWK6H,Something Special,Days Of Fate,0.677,0.93,-5.381,1,0.0511,0.00382,0.0375,0.0793,0.575,123.032,4.0
5Nn0VP1aDzJpEDY6nPtjkI,Beach Gray,The Appleseed Cast,0.491,0.7440000000000001,-9.162,1,0.0363,0.142,0.643,0.109,0.623,140.114,4.0
7Ggewhz4ZYrJvD3mWvNngm,Peggy and the Soldier,Connie Dover,0.662,0.3229999999999999,-11.08,1,0.0303,0.7120000000000001,0.0,0.271,0.655,120.005,4.0
4vqpEBPKq3H08yt9TUQGnN,Eleven,Wide Mouth Mason,0.435,0.879,-4.788,1,0.122,0.0165,0.0001409999999999,0.601,0.595,127.909,4.0
4p6BHlAvHVia6mFrHItoBJ,Shadow Identity,Atari Teenage Riot,0.451,0.962,-2.951,1,0.361,0.00248,0.0393,0.173,0.0719,167.037,4.0
6nUnTm8ONonuROvyWZzOIJ,Why,Devil Doll,0.6809999999999999,0.428,-8.966000000000003,1,0.0275,0.314,0.0,0.098,0.499,101.079,4.0
7p80WfAMmgWb0LZCrtilKZ,Ain’t No California,Gambetta & Crary,0.424,0.449,-12.741,1,0.0308,0.542,0.00528,0.8740000000000001,0.696,104.534,4.0
6ksElrdGJ9R0fSwcbQScEP,Alcohol Is the Root,Bif Naked,0.6890000000000001,0.241,-18.771,0,0.956,0.488,0.0,0.142,0.363,81.684,1.0
5dcU04PPOeb7L0vMBSNOWs,O My Soul - Alternate Version,Big Star,0.361,0.917,-6.3320000000000025,1,0.11,0.0132,0.0137,0.376,0.642,145.922,4.0
2r6PLK97r7GjOadU17Kf1z,She's a Mover - Alternate Version,Big Star,0.472,0.952,-5.386,1,0.0425,0.00117,0.135,0.341,0.883,119.047,4.0
6nUnySRgxbDjcAkxKxOTWB,Paranormal,Cave In,0.192,0.841,-4.712,1,0.0626,0.0035299999999999,0.379,0.5,0.2689999999999999,79.66199999999998,4.0
0ntM9r04Yj305gEdARjYEa,Black Island - Groove Armada's Desert Island Disc,Cuba,0.765,0.7140000000000001,-11.53,0,0.0409,0.0046,0.733,0.148,0.6829999999999999,126.0,4.0
0ZGPzH15W3SepIU0HBvuCd,Soft Water Rhinoceros,Merzbow,0.118,1.0,3.428,0,0.247,0.0285,0.314,0.639,0.0143,89.541,4.0
25e6EHX8YyC5hsaipxdHCz,Human Nature,Miles Davis,0.6559999999999999,0.32,-15.261,0,0.0348,0.495,0.0614,0.0765,0.573,91.368,4.0
5aHcoztTDvSxxWjdXFgfTA,Demon of White Sadness,Marah,0.547,0.981,-2.633,1,0.0569,0.0241,0.0149,0.326,0.775,129.6,4.0
3xTXtYy0Jjs7rVqlwCgbu3,Naha Noc,Aneta Langerová,0.754,0.7659999999999999,-6.093,1,0.0392,0.0332,0.0,0.122,0.871,138.02,4.0
5jZbzjqmwK8osUr3vJOgn2,When You Kiss Your Ma Goodbye,Government Cheese,0.144,0.928,-4.341,1,0.0687,2.48e-05,0.0,0.142,0.539,157.196,4.0
4fm56VODYyt8JKx0fOGlT2,Asab,Hana,0.4639999999999999,0.545,-14.164,0,0.046,0.818,0.7809999999999999,0.0663,0.358,151.245,4.0
5oAVBefsSnLen5qMVCp6B4,Cuckoo,Slaughterhouse,0.3720000000000001,0.973,-4.117,1,0.417,0.018,0.0,0.341,0.655,171.71400000000003,4.0
0rT9KyAEDNr0kbBL5Qfo8k,Brown Girl in the Ring,Boney M.,0.732,0.743,-7.0829999999999975,1,0.0486,0.22,0.00154,0.0173,0.893,105.64,4.0
3VDibpS9H1rM3c0zgMBRGE,Paranoid,Kyle Riabko,0.69,0.931,-2.994,1,0.0645,0.0253,1.37e-06,0.0571,0.777,131.97899999999998,4.0
1T0bcXnEk1oYlZgol370qE,Small Things,Lali Puna,0.7240000000000001,0.631,-12.686,1,0.136,0.026,0.809,0.0637,0.755,160.02100000000004,4.0
0cK7cyl7GJahFiRe4DZiem,Cool Drink Of Water,Vassar Clements,0.495,0.267,-14.413,1,0.0306,0.965,0.0474,0.0795,0.524,95.659,4.0
6IOfOmmXBmBDk6tXS9zrLR,First Man In My Life,Regine Velasquez,0.3379999999999999,0.275,-10.168,1,0.044,0.818,0.0,0.0978,0.257,114.51,4.0
3rOkeAMS2CxL1bqsZjbhwc,Razor Blade Kisses: Lure of the Temptress,Razorbladekisses,0.501,0.7959999999999999,-7.9929999999999986,0,0.0302,0.0467,0.000309,0.3670000000000001,0.763,130.019,4.0
6KsW0vx2Unswhxg2ziIQAL,Eat Your Heart,Steam Powered Giraffe,0.449,0.6709999999999999,-4.799,1,0.0447,0.41,0.0,0.331,0.413,140.227,4.0
2AMDKSt4HJWZbuLupJuNrj,Valió la Pena - Salsa Version,Marc Anthony,0.521,0.7040000000000001,-5.772,0,0.0513,0.332,7.1e-06,0.0665,0.846,98.364,4.0
0mq6hJKswj2jXHnIPW0CDC,I Can't Breathe Anymore,David Gilmour,0.2189999999999999,0.433,-11.21,0,0.0288,0.00275,0.0002319999999999,0.089,0.187,91.625,4.0
3jsD3EELoZse2UHd6imXwf,Leonard Bernstein Discusses Charles Ives,"Spoken Word', 'Charles Ives', 'Leonard Bernstein",0.619,0.153,-20.431,1,0.852,0.835,0.0,0.381,0.405,134.832,3.0
7ME0GbntgfUunXVoE40d7G,Sleep With Me,Mark Lanegan,0.28,0.6509999999999999,-5.715,1,0.0382,0.389,0.539,0.1119999999999999,0.302,101.787,4.0
1BFqVMrw2KvzTS5wfKgDBo,Tune Out (Live),The Format,0.5579999999999999,0.564,-15.327,1,0.0367,0.000267,0.0,0.952,0.6829999999999999,132.207,4.0
1F4UNVrj7QbW2luXlqQrba,Cravo e Canela,Banda Black Rio,0.721,0.5870000000000001,-8.414,0,0.0304,0.4679999999999999,0.899,0.109,0.903,141.545,4.0
54LiYhmxxhyYHMpai3rMlq,I Believed,Malo',0.612,0.82,-6.814,1,0.0353,0.128,0.00234,0.13,0.236,108.029,4.0
0lyhoklRRM9TI3fmvQ8kMw,Cold Joker,Circus Devils,0.327,0.7,-5.49,1,0.0481,0.353,7.37e-05,0.0924,0.313,118.104,4.0
2o9BKDy4SJjrggR74b89jK,Vorrei - Manifesto,Argine,0.425,0.182,-14.518,1,0.0435,0.948,0.123,0.114,0.0721,114.97,4.0
